CID011 BASE,4610502.889,454225.407,1819.596,,
CID011 1.1 INLET,4610475.595,454225.804,1818.835,,
CID011 1.2 INLET,4610476.941,454226.090,1819.093,,
CID011 1.1 OUTLT,4610477.557,454216.403,1818.255,,
CID011 1.2 OUTLT,4610479.654,454216.913,1818.307,,
HWR BASE,4605753.518,452795.414,1675.202,,
HWR 1.1 INLET,4605756.144,452783.916,1675.775,,
HWR 1.1 OUTLET,4605749.347,452778.638,1678.721,,
HWR 1.1 INTEST,4605757.439,452783.080,1673.775,,
HWR 1.1 OUTTST,4605751.076,452778.029,1673.721,,
CID270 BASE,4630691.029,452186.655,1795.056,,
CID051 BASE,4631230.954,451786.711,1775.941,,
CID016 BASE,4650418.000,456817.262,2323.215,,
CID018 BASE,4648033.648,456644.303,2181.602,,
UID87425 IN,4648032.080,456631.583,2180.807,,
UID87425 OT,4648024.754,456632.715,2180.556,,
CID327 BASE,4630390.899,458350.917,2441.686,,
UID3813 IN,4630398.151,458356.768,2439.868,,
UID3813 OT,4630396.462,458363.588,2425.832,,
CID306 BASE,4627983.714,461036.611,2222.504,,
UID35871 IN,4627991.085,461033.691,2220.860,,
UID35871 OT,4627989.813,461047.667,2220.300,,
CID315 BASE,4645336.214,455360.237,2086.165,,
CID315 TEST,4645336.138,455360.422,2087.821,,
UID398 IN,4645344.221,455400.116,2087.997,,
UID398 OT,4645355.858,455390.931,2087.501,,
CID270 BASE2,4630686.949,452186.020,1794.723,,
UID35535 IN,4630685.640,452194.086,1793.150,,
UID35535 OT,4630693.124,452200.698,1793.020,,
CID008 BASE,4623823.087,444097.757,1545.508,,
UID25699.1 IN,4623816.538,444086.162,1542.084,,
UID25699.2 IN,4623817.824,444092.177,1542.249,,
UID25699.1 OT,4623842.390,444051.364,1541.766,,
UID25699.2 OT,4623843.336,444055.191,1541.634,,
CID300 BASE,4615949.048,433983.365,1536.041,,
ID94738 IN,4615934.642,433980.583,1533.811,,
CID300 BASE2,4615946.866,433982.402,1535.940,,
UID68601 BASE,4512126.272,509999.760,2901.989,,
UID68601 IN,4512073.750,510025.106,2899.102,,
UID68601 OT,4512095.622,510046.706,2895.897,,
ID60332 BASE,4515172.924,509620.286,2769.498,,
